Title,Abstract,StoreId,ArticleType,Authors,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,classification,classificationCodes,majorClassificationCodes,startPage,subjectClassifications,subjectTerms,FindACopy,Database
"Man convicted of murdering West Gardiner teen dies in prison Michael Boucher, 71, died Sunday morning at the Maine State Prison in Warren, according to corrections officials.","Because the crime occurred when the state still allowed murderers to seek parole, Boucher was eligible to request his parole every five years. ""The day Debra's grisly murder was discovered, the world as my family knew it was gone,"" Kim Dill, Debra's younger sister, told members of the Maine Parole Board in 2014. Boucher eluded investigators for 15 years, while he racked up a lengthy criminal record that included at least two convictions for aggravated assault as well as public indecency, theft and harassment.",2643898589,Newspapers,"Hoey, Dennis", State Prison-Maine," Copyright Portland Newspapers Mar 28, 2022", News," Mar 28, 2022",2689-5900, English, English,," Portland, Me.","Mar 28, 2022",Portland Press Herald,2022,https://www.proquest.com/newspapers/man-convicted-murdering-west-gardiner-teen-dies/docview/2643898589/se-2?accountid=8505,,,, B.2,," Criminal sentences , Parole boards , Prisons , Criminal investigations , Sex crimes , Murders & murder attempts , United States--US , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Man+convicted+of+murdering+West+Gardiner+teen+dies+in+prison+Michael+Boucher%2C+71%2C+died+Sunday+morning+at+the+Maine+State+Prison+in+Warren%2C+according+to+corrections+officials.&amp;rft.au=Hoey%2C+Dennis&amp;rft.aulast=Hoey&amp;rft.aufirst=Dennis&amp;rft.date=2022-03-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Norway therapist gets probation for health care fraud,,2617127752,Newspapers,,," Copyright Sun Journal Jan 6, 2022", News," Jan 6, 2022",, English, English,," Lewiston, Me.","Jan 6, 2022",Sun Journal,2022,https://www.proquest.com/newspapers/norway-therapist-gets-probation-health-care-fraud/docview/2617127752/se-2?accountid=8505,,,, n/a,," Attorneys , Cooperation , Maternity & paternity leaves , Social workers , Court hearings & proceedings , Conspiracy , Criminal investigations , Interpreters , Parole & probation , COVID-19 , Judges & magistrates , Fraud , United States--US , Maine , Norway",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Norway+therapist+gets+probation+for+health+care+fraud&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2022-01-06&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"Judge orders probation and restitution for Rockland man who made hoax mayday call Nathan Libby, 32, will not serve any time in jail but is ordered to pay $17,500 in restitution.",,2577619008,Newspapers,"Gray, Megan", Coast Guard-US," Copyright Portland Newspapers Sep 30, 2021", News," Sep 30, 2021",2689-5900, English, English,," Portland, Me.","Sep 30, 2021",Portland Press Herald,2021,https://www.proquest.com/newspapers/judge-orders-probation-restitution-rockland-man/docview/2577619008/se-2?accountid=8505,,,, B.2,," Restitution , Hoaxes , Drug use , Public prosecutors , Criminal sentences , Court hearings & proceedings , Convictions , Federal court decisions , Imprisonment , United States--US , Maine , United Kingdom--UK , England",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Judge+orders+probation+and+restitution+for+Rockland+man+who+made+hoax+mayday+call+Nathan+Libby%2C+32%2C+will+not+serve+any+time+in+jail+but+is+ordered+to+pay+%2417%2C500+in+restitution.&amp;rft.au=Gray%2C+Megan&amp;rft.aulast=Gray&amp;rft.aufirst=Megan&amp;rft.date=2021-09-30&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Court makes voting easier - GOP objects Thousands on probation and parole in North Carolina deserve the right to vote.,,2565343464,Newspapers,Charlotte Observer Editorial Board,," Copyright Portland Newspapers Aug 28, 2021", News," Aug 28, 2021",2689-5900, English, English,," Portland, Me.","Aug 28, 2021",Portland Press Herald,2021,https://www.proquest.com/newspapers/court-makes-voting-easier-gop-objects-thousands/docview/2565343464/se-2?accountid=8505,,,, A.1,," Criminal sentences , Voting rights , Ex-convicts , Parole & probation , United States--US , North Carolina",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Court+makes+voting+easier+-+GOP+objects+Thousands+on+probation+and+parole+in+North+Carolina+deserve+the+right+to+vote.&amp;rft.au=Charlotte+Observer+Editorial+Board&amp;rft.aulast=Charlotte+Observer+Editorial+Board&amp;rft.aufirst=&amp;rft.date=2021-08-28&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Greene man gets probation for Social Security fraud,,2532418616,Newspapers,, Social Security Administration," Copyright Sun Journal May 26, 2021", News," May 26, 2021",, English, English,," Lewiston, Me.","May 26, 2021",Sun Journal,2021,https://www.proquest.com/newspapers/greene-man-gets-probation-social-security-fraud/docview/2532418616/se-2?accountid=8505,,,, n/a,," Criminal sentences , Social security , Parole & probation , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Greene+man+gets+probation+for+Social+Security+fraud&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2021-05-26&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
Bring back Maine's parole system,,2524643327,Newspapers,, Senate," Copyright Portland Newspapers May 11, 2021", News," May 11, 2021",2689-5900, English, English,," Portland, Me.","May 11, 2021",Portland Press Herald,2021,https://www.proquest.com/newspapers/bring-back-maines-parole-system/docview/2524643327/se-2?accountid=8505,,,, A.1,," Rebellions , Older people , Charters , Racism , Food stamps , Imprisonment , United States--US , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Bring+back+Maine%27s+parole+system&amp;rft.au=&amp;rft.aulast=&amp;rft.aufirst=&amp;rft.date=2021-05-11&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=A.1&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Auburn man gets probation in federal pot raid,,2470555289,Newspapers,"Williams, Christopher",," Copyright Portland Newspapers Dec 17, 2020", News," Dec 17, 2020",2689-5900, English, English,," Portland, Me.","Dec 17, 2020",Portland Press Herald,2020,https://www.proquest.com/newspapers/auburn-man-gets-probation-federal-pot-raid/docview/2470555289/se-2?accountid=8505,,,, B.2,," Medical marijuana , Criminal sentences , Indictments , Drug legalization , Convictions , Raids , Parole & probation , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Auburn+man+gets+probation+in+federal+pot+raid&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2020-12-17&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Auburn man sentenced to probation in 2018 federal pot raid,,2470503416,Newspapers,"Williams, Christopher",," Copyright Sun Journal Dec 16, 2020", News," Dec 16, 2020",, English, English,," Lewiston, Me.","Dec 16, 2020",Sun Journal,2020,https://www.proquest.com/newspapers/auburn-man-sentenced-probation-2018-federal-pot/docview/2470503416/se-2?accountid=8505,,,, n/a,," Medical marijuana , Criminal sentences , Vaccines , Drug legalization , Convictions , Raids , Parole & probation , Criminal intent , United States--US , Maine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Sun+Journal&amp;rft.atitle=Auburn+man+sentenced+to+probation+in+2018+federal+pot+raid&amp;rft.au=Williams%2C+Christopher&amp;rft.aulast=Williams&amp;rft.aufirst=Christopher&amp;rft.date=2020-12-16&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Sun+Journal&amp;rft.issn=&amp;rft_id=info:doi/,Global Newsstream
"Keith Savage, former probation and parole officer in Portland",,2439554336,Newspapers,"Creamer, Melanie",," Copyright Portland Newspapers Sep 3, 2020", News," Sep 3, 2020",2689-5900, English, English,," Portland, Me.","Sep 3, 2020",Portland Press Herald,2020,https://www.proquest.com/newspapers/keith-savage-former-probation-parole-officer/docview/2439554336/se-2?accountid=8505,,,, B.2,," Parole officers , Parole & probation , Military police",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Portland+Press+Herald&amp;rft.atitle=Keith+Savage%2C+former+probation+and+parole+officer+in+Portland&amp;rft.au=Creamer%2C+Melanie&amp;rft.aulast=Creamer&amp;rft.aufirst=Melanie&amp;rft.date=2020-09-03&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=B.2&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Portland+Press+Herald&amp;rft.issn=26895900&amp;rft_id=info:doi/,Global Newsstream
Mainer ensnared in Russia probe released from probation 2 years early,,2404656819,Newspapers,"Shepherd, Michael",, Copyright 2020 Bangor Daily News, News," May 19, 2020",0892-8738, English, English,," Bangor, Me.","May 19, 2020",Bangor Daily News,2020,https://www.proquest.com/newspapers/mainer-ensnared-russia-probe-released-probation-2/docview/2404656819/se-2?accountid=8505,,,,,," Political campaigns , Criminal investigations , Presidential elections , State court decisions , Parole & probation , Russia , United States--US , Maine , Ukraine",https://zv6dg7yl8g.search.serialssolutions.com?ctx_ver=Z39.88-2004&amp;ctx_enc=info:ofi/enc:UTF-8&amp;rfr_id=info:sid/ProQ%3Anortheastnews1&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;rft.genre=article&amp;rft.jtitle=Bangor+Daily+News&amp;rft.atitle=Mainer+ensnared+in+Russia+probe+released+from+probation+2+years+early&amp;rft.au=Shepherd%2C+Michael&amp;rft.aulast=Shepherd&amp;rft.aufirst=Michael&amp;rft.date=2020-05-19&amp;rft.volume=&amp;rft.issue=&amp;rft.spage=&amp;rft.isbn=&amp;rft.btitle=&amp;rft.title=Bangor+Daily+News&amp;rft.issn=08928738&amp;rft_id=info:doi/,Global Newsstream
